comuna,precio_93,precio_95,diesel
Santo Domingo,1512.0,1553.0,1348.0
San Felipe,1514.0,1557.0,1341.0
San Felipe,1508.0,1551.0,1335.0
San Felipe,1609.0,1657.0,1523.0
San Felipe,1514.0,1557.0,1341.0
San Felipe,1514.0,1557.0,1341.0
San Felipe,1514.0,1557.0,1341.0
San Felipe,1514.0,1557.0,1341.0
San Felipe,1514.0,1557.0,1341.0
San Felipe,1514.0,1557.0,1341.0
San Felipe,1514.0,1557.0,1341.0
San Felipe,1514.0,1557.0,1341.0
Catemu,1510.0,1548.0,1338.0
Llaillay,1513.0,1553.0,1348.0
Llaillay,1502.0,1540.0,1330.0
Llaillay,1596.0,1639.0,1555.0
Llaillay,1502.0,1540.0,1330.0
Panquehue,1510.0,1548.0,1341.0
Putaendo,1514.0,1557.0,1341.0
Santa María,1512.0,1555.0,1339.0
Quilpué,,,
Quilpué,1498.0,1549.0,1339.0
Quilpué,1498.0,1549.0,1339.0
Quilpué,1498.0,1549.0,1339.0
Quilpué,1498.0,1549.0,1339.0
Quilpué,1498.0,1549.0,1339.0
Quilpué,1498.0,1549.0,1339.0
Quilpué,1498.0,1549.0,1339.0
Quilpué,1498.0,1549.0,1339.0
Quilpué,,,
Quilpué,1498.0,1549.0,1339.0
Quilpué,,,
Quilpué,1593.0,1649.0,1457.0
Quilpué,1498.0,1549.0,1339.0
Quilpué,1498.0,1549.0,1339.0
Quilpué,1498.0,1549.0,1339.0
Quilpué,1498.0,1549.0,1339.0
Quilpué,1498.0,1549.0,1339.0
Limache,1603.0,1651.0,1448.0
Limache,1508.0,1551.0,1331.0
Limache,1508.0,1551.0,1331.0
Limache,1495.0,1541.0,1319.0
Limache,1508.0,1551.0,1331.0
Limache,1509.0,1552.0,1332.0
Limache,1508.0,1551.0,1331.0
Olmué,1509.0,1552.0,1332.0
Olmué,1509.0,1552.0,1332.0
Villa Alemana,1498.0,1549.0,1339.0
Villa Alemana,1498.0,1549.0,1339.0
Villa Alemana,1498.0,1549.0,1339.0
Villa Alemana,,,1339.0
Villa Alemana,1498.0,1549.0,1339.0
Villa Alemana,1498.0,1549.0,1339.0
Villa Alemana,1498.0,1549.0,1339.0
Villa Alemana,1498.0,1549.0,1339.0
Villa Alemana,1498.0,1549.0,1339.0
Rancagua,,,
Rancagua,,,
Rancagua,1536.0,1567.0,1373.0
Rancagua,1539.0,1569.0,1379.0
Rancagua,1536.0,1567.0,1373.0
Rancagua,,,
Rancagua,1537.0,1567.0,1375.0
Rancagua,1528.0,1560.0,1358.0
Rancagua,1536.0,1565.0,1373.0
Rancagua,1534.0,1565.0,1371.0
Rancagua,1536.0,1565.0,1373.0
Rancagua,1537.0,1567.0,1375.0
Rancagua,,1630.0,1555.0
Rancagua,1509.0,,1349.0
Rancagua,1528.0,1560.0,1358.0
Rancagua,1537.0,1567.0,1375.0
Rancagua,1537.0,1567.0,1375.0
Rancagua,1537.0,1567.0,1375.0
Rancagua,1536.0,1567.0,1373.0
Rancagua,1528.0,1560.0,1358.0
Rancagua,1536.0,1567.0,1373.0
Rancagua,1536.0,1567.0,1373.0
Rancagua,1539.0,1569.0,1379.0
Rancagua,1527.0,1560.0,1358.0
Rancagua,1534.0,1565.0,1371.0
Rancagua,1536.0,1565.0,1373.0
Codegua,1529.0,1566.0,1370.0
Coinco,,,
Coltauco,1532.0,1566.0,1370.0
Doñihue,1531.0,1566.0,1370.0
Graneros,1528.0,1560.0,1358.0
Graneros,1517.0,1546.0,1348.0
Las Cabras,1532.0,1565.0,1368.0
Las Cabras,1532.0,1565.0,1368.0
Las Cabras,,1246.0,
Las Cabras,,1253.0,
Las Cabras,1532.0,1565.0,1368.0
Machalí,1537.0,1567.0,1375.0
Machalí,1537.0,1567.0,1375.0
Machalí,,1563.0,1382.0
Malloa,1528.0,1567.0,1372.0
Mostazal,1525.0,1554.0,1375.0
Mostazal,1525.0,1554.0,1375.0
Mostazal,1525.0,1554.0,1375.0
Olivar,,,
Olivar,1533.0,1564.0,1375.0
Olivar,1631.0,1667.0,1606.0
Peumo,1526.0,1559.0,1353.0
Peumo,1625.0,1663.0,1482.0
Peumo,1526.0,1559.0,1353.0
Pichidegua,1528.0,1561.0,1364.0
Pichidegua,1543.0,1574.0,1369.0
Pichidegua,,1574.0,1369.0
Quinta de Tilcoco,1530.0,1566.0,1367.0
Quinta de Tilcoco,1530.0,1566.0,1367.0
Rengo,,,
Rengo,1528.0,1567.0,1372.0
Rengo,1528.0,1567.0,1372.0
Rengo,1518.0,1557.0,1362.0
Rengo,1538.0,1571.0,1373.0
Rengo,1539.0,1568.0,1378.0
Rengo,1528.0,1567.0,1372.0
Rengo,1528.0,1567.0,1372.0
Rengo,1529.0,1568.0,1372.0
Requínoa,1525.0,1554.0,1373.0
Requínoa,1531.0,1556.0,1368.0
Requínoa,1531.0,1556.0,1368.0
Requínoa,1534.0,1555.0,1372.0
San Vicente,1531.0,1565.0,1364.0
San Vicente,1516.0,1556.0,1361.0
San Vicente,1529.0,1563.0,1364.0
San Vicente,1532.0,1566.0,1364.0
San Vicente,1533.0,1566.0,1366.0
San Vicente,1531.0,1565.0,1364.0
Pichilemu,1503.0,1527.0,1361.0
Pichilemu,1504.0,1527.0,1364.0
Pichilemu,1503.0,1527.0,1361.0
La Estrella,1605.0,1640.0,1565.0
Litueche,1591.0,1630.0,1465.0
Marchihue,1520.0,1551.0,1343.0
Navidad,,,
Navidad,1497.0,1530.0,1348.0
Paredones,1526.0,1561.0,1365.0
Paredones,1520.0,1556.0,1354.0
San Fernando,1538.0,1571.0,1373.0
San Fernando,1519.0,1550.0,1348.0
San Fernando,1530.0,1560.0,1360.0
San Fernando,1530.0,1560.0,1360.0
San Fernando,1527.0,1558.0,1356.0
San Fernando,1518.0,1548.0,1349.0
San Fernando,1538.0,1571.0,1373.0
San Fernando,1530.0,1560.0,1360.0
San Fernando,1530.0,1560.0,1360.0
San Fernando,1527.0,1558.0,1356.0
Chépica,1520.0,1556.0,1354.0
Chépica,1520.0,1556.0,1354.0
Chimbarongo,1537.0,1571.0,1373.0
Chimbarongo,1537.0,1571.0,1373.0
Chimbarongo,1532.0,1556.0,1363.0
Chimbarongo,1523.0,1558.0,1356.0
Lolol,1520.0,1556.0,1354.0
Lolol,1614.0,1655.0,1471.0
Nancagua,1474.0,1507.0,1317.0
Nancagua,1474.0,1506.0,1317.0
Palmilla,1614.0,1655.0,1472.0
Peralillo,1507.0,1545.0,1326.0
Peralillo,1598.0,1641.0,1508.0
Peralillo,1499.0,1539.0,1325.0
Placilla,1477.0,1510.0,1320.0
Pumanque,,,
Santa Cruz,,,
Santa Cruz,1520.0,1556.0,1354.0
Santa Cruz,1520.0,1556.0,1354.0
Santa Cruz,1520.0,1556.0,1354.0
Santa Cruz,1470.0,1506.0,1304.0
Santa Cruz,1470.0,1506.0,1304.0
Talca,,,
Talca,1501.0,1529.0,1316.0
Talca,1497.0,1531.0,1316.0
Talca,1497.0,1531.0,1316.0
Talca,1496.0,1520.0,1315.0
Talca,1496.0,1520.0,1315.0
Talca,1496.0,1545.0,1333.0
Talca,1497.0,1531.0,1316.0
Talca,1497.0,1531.0,1316.0
Talca,1496.0,1524.0,1314.0
Talca,1501.0,1529.0,1316.0
Talca,1496.0,1530.0,1316.0
Talca,1489.0,1513.0,1311.0
Talca,1488.0,1515.0,1312.0
Talca,1492.0,1525.0,1314.0
Talca,,,
Talca,1501.0,1529.0,1316.0
Talca,1497.0,1531.0,1316.0
Talca,1496.0,1520.0,1315.0
Talca,1498.0,1531.0,1318.0
Talca,,,
Talca,1496.0,1520.0,1315.0
Talca,1502.0,1529.0,1318.0
Talca,1497.0,1531.0,1316.0
Talca,1496.0,1525.0,1315.0
Talca,1497.0,1531.0,1316.0
Talca,1501.0,1529.0,1316.0
Talca,1495.0,1519.0,1315.0
Talca,1496.0,1520.0,1315.0
Talca,1496.0,1524.0,1314.0
Talca,1499.0,1532.0,1320.0
Talca,1504.0,1530.0,1321.0
Constitución,1535.0,1567.0,1341.0
Constitución,1535.0,1568.0,1341.0
Constitución,1536.0,1568.0,1342.0
Constitución,1535.0,1567.0,1341.0
Constitución,1535.0,1565.0,1340.0
Curepto,1539.0,1571.0,1379.0
Curepto,1539.0,1571.0,1379.0
